fragment_length	threshold_95	threshold_99
350	2.1998884000050203	3.380279614407089
351	2.1983798719583976	3.375168308658524
352	2.2068662289614447	3.405446757059839
353	2.2342030707200498	3.490655539714675
354	2.231250226441061	3.494794118649914
355	2.2382968876794203	3.454026535019033
356	2.241664429053919	3.545510986081434
357	2.258831982940031	3.5994561520515145
358	2.257167685788437	3.5526477920872153
359	2.25847264090622	3.58175089962578
360	2.263789069714295	3.6490292246672977
361	2.2705684639857875	3.655953030577293
362	2.2689201711073625	3.605340331793018
363	2.277725875399768	3.6312973487948543
364	2.2875999155276485	3.6779578865893114
365	2.3016287115578966	3.6946227440611845
366	2.291849756027987	3.683510521754937
367	2.2877459201376396	3.735103652867863
368	2.306132139943587	3.7682819164001256
369	2.319768878352119	3.7909779788120526
370	2.3178475162501906	3.7781139472639684
371	2.323005439466407	3.8325973325964098
372	2.3362345634561605	3.7981461180135754
373	2.3443521584519793	3.8463373915606267
374	2.344561093316051	3.9098973069160405
375	2.359203153853441	3.9012504554163603
376	2.364662405456591	3.9211537614658485
377	2.3694166911990626	3.922791034789244
378	2.381346200923868	3.9433502402152945
379	2.3789139251127374	3.965517488844586
380	2.383855729141092	3.9009790838854848
381	2.396987464362353	3.915574828448455
382	2.4058413942958023	3.9407646960473284
383	2.403832911053415	3.963040641847959
384	2.3972004417799697	3.9401091128167214
385	2.4112585345532467	3.987139737115038
386	2.4400656905028426	4.028183692700362
387	2.444304616809514	4.028337937037918
388	2.447015659574867	4.020668685172313
389	2.4666938479069374	4.1281109013180535
390	2.4763149322827487	4.214860723060823
391	2.4868611409369983	4.1841060393108265
392	2.4791771321751743	4.2166828441101405
393	2.5000197249518794	4.246252923124184
394	2.50333012452759	4.293764597967667
395	2.5165227977569877	4.259588208649959
396	2.5266645262827176	4.252294754424217
397	2.525211183312485	4.264092311793526
398	2.5477135579448897	4.305536468927492
399	2.5496708317200745	4.318446568143819
400	2.5498391601615786	4.316756464439953
401	2.5555953050849984	4.3088244460175
402	2.5783975086522144	4.3758104903720625
403	2.5850561973454296	4.4148179668570915
404	2.59671104129968	4.3925855860689005
405	2.6022012520172666	4.42735990073258
406	2.6163458184354225	4.490713130889918
407	2.6284881555550696	4.53679384565841
408	2.6239433769641756	4.5353307096680835
409	2.643605052715756	4.5728716886514365
410	2.6640812821932576	4.644180449236426
411	2.686117262218277	4.681992105398865
412	2.6797718831864734	4.700102159136454
413	2.6980523181925467	4.720906908803393
414	2.6907976997000214	4.692697341996202
415	2.7084976867826023	4.737306443465196
416	2.7181669975711236	4.746061624726441
417	2.711777306943936	4.783786666213236
418	2.7238397655941777	4.8857843066774604
419	2.7329762456053857	4.957523380150014
420	2.7335312493262816	4.984774146702685
421	2.740761524304602	4.972104508797281
422	2.7195360221744185	5.004583915745803
423	2.7326859368686653	5.027097714619527
424	2.745659114559079	5.090904571354623
425	2.739810119390963	5.099960833267195
426	2.7576509077961706	5.071708523247289
427	2.7770580258360567	5.144041487661069
428	2.776624691818887	5.169004690243648
429	2.789369596342102	5.264068830754948
430	2.8079446194181084	5.372143345754292
431	2.816160438198054	5.386918167146359
432	2.826022376767575	5.390071536375281
433	2.848420086924533	5.444826425409501
434	2.85570254008638	5.435981497484372
435	2.8685843711012233	5.385996154600994
436	2.865784891872006	5.32669404922149
437	2.875972800710657	5.350455309392394
438	2.891236664451922	5.425621101431019
439	2.8771918930112466	5.410066076756957
440	2.8973061861759417	5.359736249091677
441	2.9089536395732476	5.369198940891544
442	2.902833533289027	5.295816210004156
443	2.8922361054706416	5.164182924672264
444	2.9337121405057642	5.281954314361204
445	2.9339164360304193	5.279499830278886
446	2.9354135604628824	5.430578191352165
447	2.9379309276545373	5.3901161169374685
448	2.928625138819193	5.374367415246287
449	2.9217797460528616	5.212763403243801
450	2.9200316467941008	5.113489074287974
